,wid,price,designation,variety,region_1,region_2,province,country,winery,clean,cleaned,encoded
2001,2002,45.0,Margaret's Vineyard Estate,Bordeaux-style Red Blend,Walla Walla Valley (WA),Columbia Valley,Washington,US,JM Cellars,cabernet sauvignon 45 takes  lead   blend followed  merlot 30 cabernet franc 20  petit verdot  aromas   high toned  notes  vanilla herb  dark fruit  blackfruit flavors  tightly wound needing time   cellar  stretch  legs best  2020,lead high toned wound cellar,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2002,2003,38.0,Osiris,Rhône-style Red Blend,Paso Robles,Central Coast,California,US,Kaleidos,aromas  maple  sweet hickory smoke emerge   waves  purple fruit  lilacs   nose   smallbatch blend  52 grenache 27 syrah  21 mourvèdre  flavors  well integrated   sip  tangy boysenberry  pinch  sage  crushed blackpepper spice   strong acidity  rises   midpalate,sweet hickory purple strong,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2003,2004,110.0,Collection,Pinot Noir,Corton,,Burgundy,France,L. Tramier & Fils, gentle tannins  juicy red fruits    ripe wine   developing fast   beginning  get secondary flavors mushrooms  undergrowth aromas  fruit  still   course giving red berry  acidity drink  wine soon certainly  late 2017,gentle juicy red ripe fast secondary,"0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0"
2004,2005,29.0,Closerie des Alisiers Trilogie de Terroirs,Chardonnay,Pouilly-Fuissé,,Burgundy,France,Maison Stéphane Brocard,sourced    three parcels  vintage   shot   minerality  tight acidity   fruit behind  tension   gives  wine  balance  also aging potential drink  complex wine  2018,potential complex,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2005,2006,57.0,Craft Series The Journey,Pinot Noir,,,Marlborough,New Zealand,Marisco Vineyards, highend offering   blend  new zealands  abel clone  dijon clone 777 mocha toast  charred wood notes fame pristine black cherry  plum fruit   medium  fullbodied wine  dusty lingering finish wraps things  nicely suggesting   10 years  aging potential,dusty,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2006,2007,70.0,Narvaux,Chardonnay,Meursault,,Burgundy,France,Olivier Leflaive,although     premier cru  33acre vineyard sits right next    meursaults finest vines  wine  mineral tight  textured  wine   age  touches  oak spice  intense yellow fruits   ripe  still closed   stage  certainly needs aging    ready  2019,next fine intense yellow,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2007,2008,40.0,Les Caillottes,Sauvignon Blanc,Sancerre,,Loire Valley,France,Pascal Jolivet, wine comes   86acre parcel  old vines  jolivets home village  bué   mineral  tight  concentration  intensity  herbal character    young wine  soften   fine fruitiness     needs  age  bit   drink  2017,old herbal,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
2008,2009,23.0,Spanish Springs Vineyard,Albariño,San Luis Obispo,Central Coast,California,US,Peloton,fresh yellow pear yellow grapefruit  wet riverstone aromas leap   glass   fresh  crisp bottling   winery led  longtime grape grower bill kesselring   textural   tingling palate   vibrant mix  acid  tannins reveal sweet  tangy apple flavors  settling   lime  lemonrind groove,yellow yellow crisp longtime textural vibrant sweet,"0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2009,2010,35.0,Vieilles Vignes,Pinot Noir,Savigny-lès-Beaune,,Burgundy,France,Roche de Bellene,vines planted  1947   source   dark  concentrated wine    strongly smoky character  dry tannins  contrast   potential   red cherry  berry fruits   ripe  juicy  wine  developing well    ready  drink  2019,dark smoky dry potential ripe juicy,"0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0"
2010,2011,70.0,Combes au Sud Premier Cru,Chardonnay,Saint-Aubin,,Burgundy,France,Roux Père et Fils,situated   entrance   saintaubin valley  chalky vineyard gives  wine  tight tense minerality  lemon  grapefruit flavors  bright  acidity  wood aging shows   vanilla flavors  give  smooth edge   wine drink  2019,tense bright smooth,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0"
2011,2012,30.0,Artist Series #13,Bordeaux-style Red Blend,Columbia Valley (WA),Columbia Valley,Washington,US,Soos Creek, wine   equal split  cabernet sauvignon  cabernet franc heady black cherry  darkfruit aromas lead  pitchblackfruit flavors   tannins combed   fine sheen,equal,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2012,2013,85.0,Reserve,Cabernet Sauvignon,Columbia Valley (WA),Columbia Valley,Washington,US,Swiftwater Cellars,herb wood spice coffee  cherry aromas  followed  broad  generous blackfruit flavors  tannins provide  grip  need time  settle ,broad generous,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2013,2014,35.0,Estate Grown,Petite Sirah,Sierra Foothills,Sierra Foothills,California,US,Tanner,richness  density highlight  fullbodied  deftly oaked wine  smells like baking spices  black pepper sprinkled  ripe black cherry  dark chocolate  texture   inviting almost thick  beautifully marries  ripe fruit  velvety tannins,oaked black ripe black dark thick ripe,"1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
2014,2015,25.0,Patelin de Tablas Blanc,Rhône-style White Blend,Paso Robles,Central Coast,California,US,Tablas Creek, blend  56 grenache blanc 23 viognier 12 roussanne  9 marsanne  nine vineyards offers  pretty nose  mixes key lime honeydew justripe nectarine  lily florality  bright  fresh   tightly wound  texturally intriguing sip  lime pith  lemongrass flavors,pretty key intriguing,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2015,2016,24.0,Radix Vinea,Zinfandel,El Dorado,Sierra Foothills,California,US,Uvaggio,concentrated fruit flavors full body   smooth broad mouthfeel make  wine soothing  satisfying  drink made  vines growing    roots  wine delivers  ripe berry  cherry character  floods  palate  lingers nicely   finish,full broad ripe,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
2016,2017,,Primum,Aglianico,Taurasi,,Southern Italy,Italy,Guastaferro, one  taurasis rising stars  gorgeous wine opens  enticing scents  underbrush justpicked violet dark berry   whiff  cake spice  balanced fullbodied palate delivers layers  mature black cherry raspberry cinnamon carob  cocoa  firm  refined tannins  fresh acidity provide  elegant ageworthy structure  already tempting  hold   complexity drink 20182033,gorgeous balanced fullbodied black elegant ageworthy,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
2017,2018,36.0,Silberbichl Reserve,Riesling,,,Kremstal,Austria,Malat,lifted notions  bergamot lemon  grapefruit set  fragrant almost heady tone   riot  citrus tumbles forth   palatethere   linear dynamic  exudes liveliness  drive  direct juxtaposition  ripe juiciness  tart refreshment creates  irresistible moreishness yes austria can produce intensity    compact neat package  provides pure thrill,fragrant heady linear dynamic direct ripe juiciness irresistible austria compact neat pure,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2018,2019,34.0,Steinbühel Reserve,Riesling,,,Kremstal,Austria,Malat,imagine  concentration  lemon juice   airy cloud  freshnessthat   nose   astonishing wine   palate  almost leafy spice  grapefruit peel shines   reveals new  lightfooted nuances  zesty citrus throughout exuding  immense purity  charm,astonishing leafy zesty immense,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2019,2020,64.0,Sierra Madre Vineyard,Pinot Noir,Santa Maria Valley,Central Coast,California,US,Testarossa,mossy dank forestfloor aromas  juniper chaparral shrub pencil lead  spiced porcini mushrooms mix   cooked rhubarb character   nose   wine  singlevineyard specialist bill brosseau cranberry  tart cherry flavors  decorated  rainbow peppercorns herbcrusted roast beef bay leaf eucalyptus  camphor  layers upon layers  complexity,spiced peppercorn,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2020,2021,74.0,Heiligenstein Alte Reben Reserve,Riesling,,,Kamptal,Austria,Bründlmayer, rich nutty note hints  hazelnut  lively citrus laying underneath  vein  lemony verve leads  melody like  soaring unfettered notes   violin   sonorous background   always  firm    opens     even  harmonious  beguiling drink  2020,rich nutty vein unfettered sonorous harmonious,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2021,2022,53.0,Ried Loibenberg Smaragd,Grüner Veltliner,,,Wachau,Austria,Emmerich Knoll,herbal spice  yeasty savor overlay shining ripe  juicy pear flavor    compact  complex blend  fruit  peppery punch    fine seam  citrus freshness heightening  brightening every sensation suggesting        come    delicious now  holds even  peppery fruit   core,herbal ripe juicy compact complex delicious peppery,"0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0"
2022,2023,200.0,Single Berry Select,Riesling,Columbia Gorge (WA),Washington Other,Washington,US,Chateau Ste. Michelle & Dr. Loosen, full seven years old  wine  amber  color aromas  dried apple  orange peel honey  brown sugar fill  glass  supremely rich honeyed  layered showing exquisite depth  balance  well  exceptional length,full old rich honeyed layered exquisite exceptional,"0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
2023,2024,31.0,Ried Kreutles Federspiel,Grüner Veltliner,,,Wachau,Austria,Emmerich Knoll,fresh pear  lively yeast peppery watercress  fresh citrus create  lively appetizing nose  palate bristles  wonderfully tingling citrus freshness  highlights   aromatic aspects  turn  fruitiness  ripeness  savory backdrop  yeast   lightfooted  concentrated core   still  young   ready  utterly irresistible yet   mileage  age dont drink  quicklyyoull miss  chance  savoring  peppery aftertaste,aromatic savory irresistible quicklyyoull miss,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2024,2025,85.0,Dürnsteiner Kellerberg Smaragd,Grüner Veltliner,,,Wachau,Austria,F X Pichler,wonderfully ripe flavors  juicy yellow pear precede everything   little air  palate gives us  full ultraspicy force  true grüner  real hit  freshly ground white pepper leesy yeast notes  herbal tinges  chervil arugula  watercress  bound    smooth concentrated  compact package  lasting savory length   seam  freshness,ripe juicy yellow full ultraspicy true white herbal smooth compact savory,"0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1"
2025,2026,79.0,Ried Klaus,Riesling,,,Wachau,Austria,Josef Jamek,right now although  nose  closed exposure  air reveals  purity  lemon oil   taut  tight palate still singing  yeasty notes      infancy  promises  open  beautifully   straight soaring backbone  freshness underneath   tightly curled layers  citrus peel slumbers  salty stoniness  signals ageability  long lemony finish corroborates   utterly lipsmacking drink 20202030,right salty,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2026,2027,70.0,Das Beste vom Grünen Veltliner Reserve,Grüner Veltliner,,,Kremstal,Austria,Malat, subtle notes  green  yellow pear peel entice  nose  palate adds zesty hints  yellow grapefruit peel pith  flesh  brighten  peppery herbal note reminiscent  arugula  watercress white pepper  highlighted   zest  life  energy  balance dangerously good,subtle green yellow pear zesty yellow herbal reminiscent watercress white,"0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1"
2027,2028,36.0,Gottschelle Reserve,Grüner Veltliner,,,Kremstal,Austria,Malat, almost tropical touch  passion fruit hovers   nose    draw    imbibed  reveals  concentrated  nonetheless lightfooted charm  captures   spiciness   ripe yellow grapefruitpith peel  pulp   appetizing  immense drive  energy   core however    calm  confident purity   alive,tropical ripe yellow appetizing immense calm confident alive,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2028,2029,49.0,Spitzerberg,Blaufränkisch,,,Carnuntum,Austria,Muhr-Van der Niepoort, pure  lifted notes  red cherry  held tightly within  taut frame  nose gives almost nothing away  palate provides another glimpse   hauntingly delicious almost sublimated cherry note   something aromatic  pure unforced  honest   disarming wine  structure  subtle  firm  elegance borders   pinotesque thus  wine  slender  profound,pure red delicious sublimated aromatic pure unforced honest subtle pinotesque,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
2029,2030,60.0,Psychedelic Stoney Vine Vineyard,Syrah,Walla Walla Valley (WA),Columbia Valley,Washington,US,Sleight of Hand, winerys first release   estate vineyard   rocks offers expressive captivating aromas  peat dried flowers fire pit herbs grilled asparagus funk  green olive  flavors  sweet sumptuous  rich showing depth  detail   knockout,first expressive asparagus green sweet sumptuous rich,"0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
2030,2031,62.0,Dürnsteiner Liebenberg Smaragd,Grüner Veltliner,,,Wachau,Austria,F X Pichler,perfumed peach  edged  citrus yeast   hint  pepper    enticing nose  palate tinges  fruit  far  savoriness  full force  yeasty spice something herbal  salty  incredibly moreish citrus also provides  wonderfully hightoned dimension  suggests pink grapefruit zest  kumquats   toned concentrated  full  verve,perfumed full herbal salty moreish pink full,"0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0"
2031,2032,38.0,Lamm Reserve,Grüner Veltliner,,,Kamptal,Austria,Eichinger,initially tightly closed  nose  wine slowly emerges  time   glass  palate   expressive  sprightly lemon aloe vera   soothing notion  ripe green  yellow pears   pleasing shadows  pepper  herbal spice     convincing   compact complete fluidity    envelopes  palate another masterpiece     true   vintage  birgits talented hands,closed expressive ripe green yellow pleasing compact complete true vintage talented,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
2032,2033,64.0,Ried Pfaffenberg Selection,Riesling,,,Wachau,Austria,Emmerich Knoll, enticing smell  lemon sorbet fills  nose   effect   palate  much   bracing cleansing deliciousness pervades everything    hint  crunchy crisp green apple combined  far richer notions  lemon zest  mandarin peel deeper  resides  earthy yeasty core   salty stoniness    young now   show  true  thrilling citrustinted colors   bottle age drink 20182025,crunchy crisp green rich earthy salty true thrilling,"0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0"
2033,2034,85.0,Dürnsteiner Kellerberg Smaragd,Riesling,,,Wachau,Austria,F X Pichler, barelythere glimpse  lemon bids   step closer  take  sip  palate unfolds   still tightly contained bundle  lemon zest  juiciness    undertow  riper texture reminiscent  bitter orange zest  just  full  aromatic promise   wiry  slender   mellow  seductive freshness  slick almost cheeky tartness   concentration     makings   flavor bomb   something  really look forward  drink 20182030,undertow reminiscent bitter z full aromatic mellow seductive slick cheeky,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
2034,2035,36.0,Alte Reben Höhlgraben Reserve,Grüner Veltliner,,,Kremstal,Austria,Malat, touch  flint  fleshy peach  followed  juicy citrus  ripe pear bedded  nettle  watercress together  present  immensely enticing nose hinting  whole oceans  luscious fruit beneath  surface  palate  invokes   varietal spice white pepper arugula  chervil illuminated  bright zesty citrus  finish   concert  layered zestiness overtones  orange  pink grapefruit zest make  even  compelling lipsmackingly irresistible   paradigm   vintage,fleshy juicy ripe present whole luscious varietal bright zesty layered pink compelling irresistible,"0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0"
2035,2036,,Senftenberger Ehrenfels Reserve,Grüner Veltliner,,,Kremstal,Austria,Proidl,watercress  fleshy apricot meet   wine  make  incongruous combination work  savory undertone  yeast adds  deeper dimension  pepper chervil lovage  stone abandon   riot   comes alive   mouth  demands  attention wonderful balance ripe fruit   whole lot  savory play,fleshy incongruous undertone deep alive wonderful ripe whole,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2036,2037,29.0,Loibner Federspiel,Riesling,,,Wachau,Austria,Emmerich Knoll, alluring lightness  scent  conjures  citrusflavored snowflakessymmetrical  delicate little crystals  lemony deliciousness  melt   tongue one  one releasing  constant stimulus  utterly joyous freshnesswhichever cloud  fell   simply bursts  lemon  grapefruit zest  even  lime slender incisive purity echoes long   blizzard  bracing  lasting thrill,alluring delicate constant joyous slender incisive,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2037,2038,8.0,Riserva,Red Blend,Salice Salentino,,Southern Italy,Italy,Candido,emanating   heel   italian boot close   beautiful city  lecce   one  puglias classic wines  grapes  negroamaro  malvasia nera pleasant cherryberry aromas  flavors predominate  structure  ample    mouthfeel  tannins need  softening  finish  long grilled lamb  make  fine accompaniment,italian beautiful classic pleasant predominate ample,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2038,2039,23.0,Cuvée Brut 2000,Champagne Blend,Finger Lakes,Finger Lakes,New York,US,Hermann J. Wiemer,overtly sweet aromas  flavors dominate  upstate new york offering wiemers wines  impressed us    comes   heavyhanded   dense perfumey quality  possesses decent length  texture   weighty sweetness makes   better candidate  mimosas   entertaining   shy away  dryness,sweet dense perfumey decent well shy,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
2039,2040,48.0,Cramant Brut,Champagne Blend,Champagne,,Champagne,France,Delbeck,aromas  apple cider lemon  egg custard open  wine similar flavors   palate however bear  bit   musty note yet  citrus  definitely  overall though  soft fizzy mouthfeel  fragrant almost sweet perfume aromas   display grandcru elegance,similar overall soft fragrant sweet grandcru,"0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2040,2041,35.0,Marchese Di Villamarina,Cabernet Sauvignon,Sardinia,,Sicily & Sardinia,Italy,Sella & Mosca,considered  flagship   centuryold sella  mosca fleet  edition  100 cabernet sauvignon disappoints  supporting structure  fine   cherry fruit present   nose  palate   lean  finish  short   highly regarded wine  just  showing well   time tasted twice  consistent notes,present lean short well consistent,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2041,2042,10.0,Spumante,Champagne Blend,Penedès,,Catalonia,Spain,Freixenet, aromas   bit candysweet like pink bubble gum  lifesavers    mouth  impression  sugar  confirmed  flavors  firmly   peach side  clean  simple  finishes  little sugary  syrupy,pink simple sugary,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
