,wid,points,title,description,taster_name,taster_twitter_handle
2025,2026,95,Josef Jamek 2014 Ried Klaus Riesling (Wachau),"Right now, although the nose is closed, exposure to air reveals the purity of lemon oil on a taut and tight palate still singing with yeasty notes. This is in its very infancy and promises to open up beautifully with its straight, soaring backbone of freshness. Underneath all the tightly curled layers of citrus peel slumbers a salty stoniness that signals ageability; the long, lemony finish corroborates this. How utterly lip-smacking. Drink 2020–2030",Anne Krebiehl MW,@AnneInVino
2026,2027,95,Malat 2014 Das Beste vom Grünen Veltliner Reserve Grüner Veltliner (Kremstal),"Very subtle notes of green and yellow pear peel entice the nose. The palate adds zesty hints of yellow grapefruit peel, pith and flesh that brighten a peppery herbal note reminiscent of arugula and watercress. White pepper is highlighted too. What zest, what life, what energy, what balance. Dangerously good.",Anne Krebiehl MW,@AnneInVino
2027,2028,95,Malat 2014 Gottschelle Reserve Grüner Veltliner (Kremstal),"An almost tropical touch of passion fruit hovers above the nose as if to draw you in. Once imbibed, this reveals a concentrated but nonetheless light-footed charm that captures all the spiciness of a ripe, yellow grapefruit—pith, peel and pulp. This is appetizing with immense drive and energy. At the core, however, there is a calm and confident purity. This is alive.",Anne Krebiehl MW,@AnneInVino
2028,2029,95,Muhr-Van der Niepoort 2013 Spitzerberg Blaufränkisch (Carnuntum),"Very pure and lifted notes of red cherry are held tightly within a taut frame: the nose gives almost nothing away. The palate provides another glimpse of that hauntingly delicious, almost sublimated cherry note. There is something aromatic and pure, unforced and honest about this disarming wine. The structure is subtle but firm, the elegance borders on the Pinot-esque, thus the wine is slender but profound.",Anne Krebiehl MW,@AnneInVino
2029,2030,95,Sleight of Hand 2013 Psychedelic Stoney Vine Vineyard Syrah (Walla Walla Valley (WA)),"The winery's first release off its estate vineyard in The Rocks offers expressive, captivating aromas of peat, dried flowers, fire pit, herbs, grilled asparagus, funk and green olive. The flavors are sweet, sumptuous and rich, showing depth and detail. It's a knockout.",Sean P. Sullivan,@wawinereport
2030,2031,95,F X Pichler 2014 Dürnsteiner Liebenberg Smaragd Grüner Veltliner (Wachau),"Perfumed peach is edged with citrus, yeast and a hint of pepper on a very enticing nose. The palate tinges the fruit with far more savoriness: the full force of yeasty spice, something herbal and salty and incredibly moreish. Citrus also provides a wonderfully high-toned dimension that suggests pink grapefruit zest and kumquats. This is toned, concentrated and full of verve.",Anne Krebiehl MW,@AnneInVino
2031,2032,95,Eichinger 2014 Lamm Reserve Grüner Veltliner (Kamptal),"Initially tightly closed on nose, this wine slowly emerges with time in the glass. The palate is more expressive, with sprightly lemon, aloe vera and the soothing notion of ripe green and yellow pears. There are pleasing shadows of pepper and herbal spice, but what is most convincing is the compact, complete fluidity with which this envelopes the palate. Another masterpiece that is so very true to its vintage from Birgit's talented hands.",Anne Krebiehl MW,@AnneInVino
2032,2033,95,Emmerich Knoll 2014 Ried Pfaffenberg Selection Riesling (Wachau),"An enticing smell of lemon sorbet fills the nose and the effect on the palate is much the same: bracing, cleansing deliciousness pervades everything. There is a hint of crunchy, crisp green apple combined with far richer notions of lemon zest and mandarin peel. Deeper down resides an earthy, yeasty core and a salty, stoniness. This is very young now and will show its true but thrilling citrus-tinted colors with some bottle age. Drink 2018–2025.",Anne Krebiehl MW,@AnneInVino
2033,2034,95,F X Pichler 2014 Dürnsteiner Kellerberg Smaragd Riesling (Wachau),"A barely-there glimpse of lemon bids you to step closer and take a sip. The palate unfolds in a still tightly contained bundle of lemon zest and juiciness. There is an undertow of riper texture, reminiscent of bitter orange zest and just as full of aromatic promise. This is wiry and slender but will mellow into seductive freshness and slick, almost cheeky tartness. With this concentration, it has all the makings of a flavor bomb and is something to really look forward to. Drink 2018–2030.",Anne Krebiehl MW,@AnneInVino
2034,2035,95,Malat 2014 Alte Reben Höhlgraben Reserve Grüner Veltliner (Kremstal),"A touch of flint on fleshy peach is followed by juicy citrus and ripe pear bedded in nettle and watercress. Together they present an immensely enticing nose, hinting at whole oceans of luscious fruit beneath the surface. The palate then invokes all the varietal spice: white pepper, arugula and chervil, illuminated by bright, zesty citrus to finish in a concert of layered zestiness. Overtones of orange and pink grapefruit zest make it even more compelling. Lip-smackingly irresistible and a paradigm of its vintage.",Anne Krebiehl MW,@AnneInVino
2035,2036,95,Proidl 2014 Senftenberger Ehrenfels Reserve Grüner Veltliner (Kremstal),"Watercress and fleshy apricot meet in this wine and make that incongruous combination work. A savory undertone of yeast adds a deeper dimension where pepper, chervil, lovage and stone abandon themselves to riot. This so comes alive in the mouth and demands your attention. Wonderful balance, ripe fruit and a whole lot of savory play!",Anne Krebiehl MW,@AnneInVino
2036,2037,94,Emmerich Knoll 2014 Loibner Federspiel Riesling (Wachau),"The alluring lightness of scent here conjures up citrus-flavored snowflakes—symmetrical and delicate little crystals of lemony deliciousness that melt on the tongue one by one, releasing a constant stimulus of utterly joyous freshness—whichever cloud they fell from. It simply bursts with lemon and grapefruit zest, and even with lime. Slender, incisive purity echoes long in a blizzard of bracing and lasting thrill.",Anne Krebiehl MW,@AnneInVino
2037,2038,84,Candido 1997 Riserva Red (Salice Salentino),"Emanating from the heel of the Italian boot, close to the beautiful city of Lecce, this is one of Puglia’s classic wines. The grapes are Negroamaro and Malvasia Nera. Pleasant cherry-berry aromas and flavors predominate. The structure is ample, as is the mouthfeel. The tannins need some softening. The finish is long. Grilled lamb would make a fine accompaniment.",Anonymous,
2038,2039,84,Hermann J. Wiemer 1997 Cuvée Brut 2000  (Finger Lakes),"Overtly sweet aromas and flavors dominate this upstate New York offering. Wiemer’s wines have impressed us before, but this comes off as heavy-handed, with a dense, perfumey quality. It possesses decent length and texture, but the weighty sweetness makes it a better candidate for mimosas or for entertaining those who shy away from dryness.",Anonymous,
2039,2040,84,Delbeck NV Cramant Brut  (Champagne),"Aromas of apple cider, lemon and egg custard open this wine. Similar flavors on the palate, however, bear a bit of a musty note, yet the citrus is definitely there. Overall though, the soft, fizzy mouthfeel and fragrant, almost sweet perfume aromas do not display grand-cru elegance.",Anonymous,
2040,2041,84,Sella & Mosca 1995 Marchese Di Villamarina Cabernet Sauvignon (Sardinia),"Considered the flagship of the century-old Sella & Mosca fleet, this edition of 100% Cabernet Sauvignon disappoints. The supporting structure is fine, but the cherry fruit present on the nose and palate is too lean. The finish is short, too. This highly regarded wine is just not showing well at this time. Tasted twice with consistent notes.",Anonymous,
2041,2042,84,Freixenet NV Spumante  (Penedès),"The aromas are a bit candy-sweet, like pink bubble gum and Lifesavers, and in the mouth that impression of sugar is confirmed. The flavors are firmly on the peach side. It’s clean, but simple, and finishes a little sugary and syrupy.",Anonymous,
2042,2043,84,Château Frank NV Célébre Crémant  (New York),"A very light floral nose opens to an apple-cider and clove palate. The soft mousse and round mouthfeel set up for the clean apple and spice finish. A touch sweet, but it has a relaxed appeal.",Anonymous,
2043,2044,84,Santini NV Spumante  (Moscato d'Asti),"Distinctly lime-scented, almost like lime soap, and slightly sweet. There's a clean crispness that reduces the impression of sugar, and a lingering flavor of lime and orange. Like so many inexpensive Italian sparklers, this is flavorful party wine that goes down easy.",Paul Gregutt,@paulgwine 
2044,2045,83,Bellavista 1991 Vittorio Moretti Reserve Cuvée  (Franciacorta),"The nose here is odd yet mildly appealing, with perfume and corn tortilla notes. Flower and fruit notes play on a palate accented by a soft mouthfeel and easy mousse. The finish shows a little length and a buttery, honeyed note, but overall it has a disjointed quality.",Anonymous,
2045,2046,83,Grandin NV Brut Sparkling (Vin Mousseux),"Earth and hay aromas open to an earthy tart-apple palate. There's an unusual mushroom note overall, and only a faint bead. Although the tart, dry finish is clean, it's low on zip and personality.",Anonymous,
2046,2047,82,Audubon Cellars 1997 Picnic Hill Vineyard Late Harvest Zinfandel (Amador County),"Exaggerated, burnt aromas of sun-dried tomato, raisins and plum liqueur don’t roll out the red carpet. Sweet (5.35% RS) and fruity, but also tannic and on the rough, earthy side. Ultimately it finishes short.",Anonymous,
2047,2048,82,Korbel 1997 Master's Reserve Blanc de Noir  (Russian River Valley),"This beery bubbly, with its flinty fruit and mouth-puckering acidity, is fine for parties or using as a mixer. It definitely sparkles. But it’s not Champagne, no matter what Korbel chooses to call it.",Paul Gregutt,@paulgwine 
2048,2049,82,Remo Farina 1997 Ripasso  (Valpolicella Classico Superiore),"The ripasso technique consists of passing the already completed “normal” Valpolicella back over the lees of the Amarone in the spring after vinification of the latter is complete. This results in a minor refermentation, adding extra alcohol and flavor. If the latter occurred in this particular version, it is not very evident. There is a modest amount of dry fruit present, but the mouth-searing acids and mouth-drying tannins hurt this wine.",Anonymous,
2049,2050,82,Terrale 1998 Bianco White (Sicilia),"Terrale translates as “product of the earth,” and that’s about all one can say about this wine. The grapes used are Catarrato, a white variety indigenous to Sicily, and the ubiquitous Trebbiano. A light apple nose starts it off, and the structure is good, with adequate acids. However, the finish is short and lacks flavor.",Anonymous,
2050,2051,82,Luna Di Luna NV Extra Dry White (Veneto),"This sparkling relative of a popular Italian table wine has a floral nose with a perfume quality. “Sweet” is the operative word here, with an almost candied edge to the fruit. It’s a quaff for the sweet-tooth crowd, or better yet, for making mimosas.",Anonymous,
2051,2052,81,Great Western NV Brut  (New York),"Anyone familiar with native varieties of grapes will recognize the “foxy” aromas and flavors in this otherwise well-made bubbly. The color, attack, acidity and finish are all good, and it’s dry as advertised, but that foxiness will be a problem for consumers used to vinifera grapes.",Anonymous,
2052,2053,80,Cristalino NV Extra Dry  (Penedès),"A strong wine, both in terms of aromas and flavors. There’s a delicacy and lightness to the body, but the intensity of its flavors is assaultive; it’s a combination of peaches, warm cheese and a hint of something very dry and citrusy. Roquefort notes indicate that there may be some bacteriological problems.",Anonymous,
2053,2054,95,Taittinger 1995 Comtes de Champagne Brut Rosé  (Champagne),"A beauty in every respect. The nose is perfectly toasted, with attractive apple and peach nuances. The palate feel and its full-fruit flavors build into a crescendo of Champagne style. It’s clean, lusty and just the right call for a celebratory evening. Mouthfuls of total harmony don’t come often and they don’t come cheap.",Michael Schachner,@wineschach
